"lon" "lat" "type"
-159.590734348706 22.0105403981995 "nerinea"
-159.461828244118 21.8772847495052 "nerinea"
-159.631081665114 21.8623116713136 "nerinea"
-159.574950189012 21.6420547523244 "nerinea"
-159.600393101641 21.9707141179076 "nerinea"
-159.493511054326 21.8523691712035 "nerinea"
-159.616074181657 21.9916442840567 "nerinea"
-159.681995365713 21.7920135404895 "nerinea"
-159.602961788915 21.7477949991886 "nerinea"
-159.462196016152 21.8314480847167 "nerinea"
-159.443066077489 22.0290618234094 "nerinea"
-159.512624251076 21.8110865523538 "nerinea"
-159.479840802052 21.8708882433312 "nerinea"
-159.687750730268 21.9091758302791 "nerinea"
-159.372554138834 22.1233611537569 "nerinea"
-159.504722714868 21.9930953914345 "nerinea"
-159.626083014407 21.8970254036352 "nerinea"
-159.378616337418 21.7909886790737 "nerinea"
-159.367876962122 21.8062643290366 "nerinea"
-159.497923927363 21.7270852167088 "nerinea"
-159.674681482467 21.9134171975107 "nerinea"
-159.591642677701 21.8936538612943 "nerinea"
-159.550582493955 21.9123049587216 "nerinea"
-159.454424028755 21.9754674027562 "nerinea"
-159.63220660871 22.0050567380249 "nerinea"
-160.00099907467 21.9023517991466 "nerinea"
-159.694176005334 22.0016730050195 "nerinea"
-159.545559031825 21.9310000269398 "nerinea"
-159.605230756333 21.8290129484887 "nerinea"
-159.834459794563 21.9445577943499 "nerinea"
-159.421589666123 22.0314639624621 "nerinea"
-159.735566436457 21.7784443976156 "nerinea"
-159.661981421616 21.7188217285375 "nerinea"
-159.735579381629 21.8899227099554 "nerinea"
-159.593760385727 21.7751601773773 "nerinea"
-159.641249996883 21.9351484911109 "nerinea"
-159.502647558328 21.9543717503815 "nerinea"
-159.357591105632 21.9661573012414 "nerinea"
-159.511204032537 21.9990711469712 "nerinea"
-159.738954418847 21.8773813469568 "nerinea"
-159.450345684852 21.8714220053769 "nerinea"
-159.609324820023 21.8265019064984 "nerinea"
-159.415611835608 22.0259052785742 "nerinea"
-159.477648772089 21.9024092623699 "nerinea"
-159.412525964751 21.9782495947544 "nerinea"
-159.301709390486 22.1394363156302 "perisphinctes"
-159.469439395333 22.0949045321646 "perisphinctes"
-159.349202420798 21.9116476610935 "perisphinctes"
-159.745514601788 22.2872423546195 "perisphinctes"
-159.484238911697 22.0949866303518 "perisphinctes"
-159.372260096372 22.0835804387455 "perisphinctes"
-159.540209693654 22.0491070672802 "perisphinctes"
-159.226674486892 21.9901191848494 "perisphinctes"
-159.244106968743 21.9601196348926 "perisphinctes"
-159.442364495508 22.1783043669247 "perisphinctes"
-159.42005185348 22.0439754730632 "perisphinctes"
-159.467973001723 22.0465724168683 "perisphinctes"
-159.46771798312 22.2145799179926 "perisphinctes"
-159.289720596932 22.1778715738911 "perisphinctes"
-159.247344003215 22.1732474861876 "perisphinctes"
-159.3863736312 22.1432066895859 "perisphinctes"
-159.655263064214 22.0087978882152 "perisphinctes"
-159.141388285884 22.0880727381678 "perisphinctes"
-159.492525590546 22.155405756765 "perisphinctes"
-159.607150690852 22.1941759600545 "perisphinctes"
-159.676925468851 22.085866396163 "perisphinctes"
-159.310243723435 22.0538010973669 "perisphinctes"
-159.220606879639 22.2142403051504 "perisphinctes"
-159.343987003313 22.0785109399612 "perisphinctes"
-159.558018036917 21.9619568646986 "perisphinctes"
-159.412968471405 22.0756772720774 "perisphinctes"
-159.671148109944 22.228892843433 "perisphinctes"
-159.290390431607 22.1755067690678 "perisphinctes"
-159.392126431012 21.9644948096267 "perisphinctes"
-159.3056957076 22.1616881156987 "perisphinctes"
-159.541670685188 22.1063513284438 "perisphinctes"
-159.664862568445 22.045407282076 "perisphinctes"
-159.37410286655 22.1603556512312 "perisphinctes"
-159.347758261473 22.082863829729 "perisphinctes"
-159.545522309313 22.1752402393495 "perisphinctes"
-159.42575134242 22.1949324144522 "perisphinctes"
-159.335883493585 22.1671252384505 "perisphinctes"
-159.622648781637 22.0614523481303 "perisphinctes"
-159.195662853741 22.0828221786549 "perisphinctes"
-159.594038151408 22.0543193056592 "perisphinctes"
-159.390889132856 21.9937600345532 "perisphinctes"
-159.700745594114 22.071134357506 "perisphinctes"
-159.345802542511 21.951523903813 "perisphinctes"
-159.466107754261 22.1373860997116 "perisphinctes"
-159.429502722817 22.2755277970423 "perisphinctes"
-159.739508318632 22.2255751750609 "perisphinctes"
-159.303971651042 22.0706200349441 "perisphinctes"
-159.430022988626 22.1186434075427 "perisphinctes"
-159.300508774071 22.0264644046731 "perisphinctes"
-159.357607909907 22.1721204419225 "perisphinctes"
-159.194206096886 22.0403702322306 "perisphinctes"
-159.38218215149 21.955449315623 "perisphinctes"
-159.310222180413 21.9377595899788 "perisphinctes"
-159.444865170744 22.0682017752259 "perisphinctes"
-159.587979995029 22.0339019377769 "perisphinctes"
-159.412445807331 22.0070832733798 "perisphinctes"
-159.471588960133 22.2327877874908 "perisphinctes"
-159.570566818617 22.2119700418438 "perisphinctes"
-159.356066202358 22.0613639413916 "perisphinctes"
-159.513054230351 22.0645578273363 "perisphinctes"
-159.370753225409 21.9830313931156 "perisphinctes"
-159.272124703531 21.9438140035057 "perisphinctes"
-159.635164311599 22.0703694426587 "perisphinctes"
-159.529645303665 22.1546389604875 "perisphinctes"
-159.381256825302 21.8643088695415 "perisphinctes"
-159.558676020917 22.150195879295 "perisphinctes"
-159.615489128656 22.035221646805 "perisphinctes"
-159.366214299691 22.2870365446566 "perisphinctes"
-159.514933169284 21.9776787368566 "perisphinctes"
-159.025259356473 22.045581419526 "perisphinctes"
-159.172386003762 22.0936927008392 "perisphinctes"
-159.309435163548 22.1095246745497 "perisphinctes"
-159.402776911888 22.2560321390472 "perisphinctes"
-159.542368299414 22.1201375839408 "perisphinctes"
-159.394064123178 22.0979803543794 "perisphinctes"
-159.357433179926 22.2225480013822 "perisphinctes"
-159.31647847215 22.2153003848559 "perisphinctes"
-159.504842640078 22.1038371694661 "perisphinctes"
-159.564739259729 22.1837591793382 "perisphinctes"
-159.362809478823 22.2218618981112 "perisphinctes"
-159.244123076559 22.0903919185094 "perisphinctes"
-159.231107870157 22.0861754974651 "perisphinctes"
-159.389962513412 22.0921319688309 "perisphinctes"
-159.301917169862 22.0606249831174 "perisphinctes"
-159.429122665606 21.9954849964892 "perisphinctes"
-159.347282544359 22.1884168145262 "perisphinctes"
-159.462132867995 22.3257218981687 "perisphinctes"
-159.286167815229 21.9228405959477 "perisphinctes"
-159.230919520421 22.0391477975674 "perisphinctes"
-159.371139003787 21.9700893660178 "perisphinctes"
-159.098454750385 22.0056636275702 "perisphinctes"
-159.545527059134 22.0990855626771 "perisphinctes"
-159.258328411575 22.161443278011 "perisphinctes"
-159.372395406523 22.3078302339688 "perisphinctes"
-159.536114657435 22.148735926433 "perisphinctes"
-159.464608364296 22.2351788572694 "perisphinctes"
-159.250410156795 22.0740438179367 "perisphinctes"
-159.25999722661 21.850370526049 "perisphinctes"
-159.63478130494 22.1405103168237 "perisphinctes"
-159.221424569764 22.2245022228943 "perisphinctes"
-159.485939936926 22.2259440577512 "perisphinctes"
-159.290047754843 22.2405670117836 "perisphinctes"
-159.471643997291 22.2165785249829 "perisphinctes"
-159.405055756402 22.0556371751587 "perisphinctes"
-159.265048059889 22.1166754890448 "perisphinctes"
-159.523834238618 22.1798783308605 "perisphinctes"
-159.370255077584 22.1540956115518 "perisphinctes"
-159.288090256402 22.0246526653361 "perisphinctes"
-159.300439993801 22.0365371492708 "perisphinctes"
-159.735257859331 22.0642443038044 "perisphinctes"
-159.520509074462 22.1654333156219 "perisphinctes"
-159.368728785672 22.0033859365334 "perisphinctes"
-159.409632999319 22.1681295563727 "perisphinctes"
-159.314812621956 22.0123287452322 "perisphinctes"
-159.187322731884 22.0360865175501 "perisphinctes"
-159.446636129407 22.2945455471751 "perisphinctes"
-159.463864645688 21.9139305511418 "perisphinctes"
-159.601454513087 22.1368710983203 "perisphinctes"
-159.341933287757 22.0317700457617 "perisphinctes"
-159.705346610003 22.215665848819 "perisphinctes"
-159.301523442865 22.1426060480113 "perisphinctes"
-159.441056781351 22.1417490399797 "perisphinctes"
-159.59808968067 22.0145565678869 "perisphinctes"
-159.304428185323 22.0740399841456 "perisphinctes"
-159.435204773062 22.0284204673267 "perisphinctes"
-159.197330271209 22.0862685197733 "perisphinctes"
-159.559698669571 22.1636726988508 "perisphinctes"
-159.326206293203 22.1918847467077 "perisphinctes"
-159.655205548781 22.0224488363864 "perisphinctes"
-159.181113029095 22.1965105972092 "perisphinctes"
-159.271763955322 22.1954186903821 "perisphinctes"
-159.400144072793 22.082703501445 "perisphinctes"
-159.113834256683 22.0273638148661 "perisphinctes"
-159.300259701379 21.9312918762597 "perisphinctes"
-159.48381759173 22.1801106837775 "perisphinctes"
-159.451385333971 22.1492363725088 "perisphinctes"
-159.47752632022 22.2655698148952 "perisphinctes"
