"x" "y" "abundance"
"1" 10.46 39.9407333333333 "H"
"2" 10.2655 39.9282666666667 "H"
"3" 11.047 40.0108 "H"
"4" 9.7575 40.0284666666667 "H"
"5" 10.9085 40.0012666666667 "H"
"6" 10.297 39.9803333333333 "H"
"7" 11.312 39.7306666666667 "H"
"8" 9.598 40.0296 "H"
"9" 10.799 39.9138666666667 "H"
"10" 10.2255 40.0362666666667 "H"
"11" 11.537 39.6398666666667 "H"
"12" 11.1465 39.8210666666667 "H"
"13" 12.16 39.8912666666667 "H"
"14" 11.6225 39.7937333333333 "H"
"15" 9.783 39.9758 "H"
"16" 10.2195 39.7646666666667 "H"
"17" 10.8625 39.8366 "H"
"18" 10.58 39.9992 "H"
"19" 10.7025 39.7122666666667 "H"
"20" 11.2055 39.7681333333333 "H"
"21" 10.2185 40.0378666666667 "H"
"22" 9.7785 39.9933333333333 "H"
"23" 10.4945 39.8798666666667 "H"
"24" 11.685 39.7338666666667 "H"
"25" 11.134 39.6554 "H"
"26" 10.8115 39.905 "H"
"27" 10.476 40.0778666666667 "H"
"28" 10.3195 39.9639333333333 "H"
"29" 9.949 40.0360666666667 "H"
"30" 11.3865 39.7812666666667 "H"
"31" 12.357 39.5558 "H"
"32" 11.463 39.7998666666667 "H"
"33" 11.277 40.0266 "H"
"34" 10.628 39.8792 "H"
"35" 11.506 39.6208666666667 "H"
"36" 10.2165 39.9766666666667 "H"
"37" 10.01 40.1418666666667 "H"
"38" 12.0925 39.9796666666667 "H"
"39" 10.9925 39.9323333333333 "H"
"40" 9.8265 40.1445333333333 "H"
"41" 10.048 39.7886666666667 "H"
"42" 10.1785 39.9184666666667 "H"
"43" 10.37 39.9521333333333 "H"
"44" 9.8805 39.9818 "H"
"45" 10.6765 39.8314666666667 "H"
"46" 9.5465 39.9458666666667 "H"
"47" 10.7015 39.8346666666667 "H"
"48" 10.7205 39.856 "H"
"49" 11.54 39.9711333333333 "H"
"50" 11.382 39.9570666666667 "H"
"51" 9.661 40.06 "H"
"52" 10.497 39.9262 "H"
"53" 10.7285 39.7552 "H"
"54" 10.42 40.1587333333333 "H"
"55" 11.6085 40.0130666666667 "H"
"56" 10.719 39.7792 "H"
"57" 11.501 39.7111333333333 "H"
"58" 11.602 39.86 "H"
"59" 10.293 39.9835333333333 "H"
"60" 12.61 39.8009333333333 "H"
"61" 10.832 39.9774 "H"
"62" 12.2035 39.8734666666667 "H"
"63" 9.513 40.0494 "H"
"64" 9.4985 40.0239333333333 "H"
"65" 10.677 40.0682666666667 "H"
"66" 10.134 40.1866 "H"
"67" 10.4285 39.7686666666667 "H"
"68" 10.8325 40.0294 "H"
"69" 9.722 39.9965333333333 "H"
"70" 9.569 40.0504 "H"
"71" 10.4795 39.8604666666667 "H"
"72" 11.441 39.7562 "H"
"73" 10.981 40.0939333333333 "H"
"74" 10.098 40.0612 "H"
"75" 10.851 40.1209333333333 "H"
"76" 10.6495 40.0892666666667 "H"
"77" 10.658 39.7694666666667 "H"
"78" 9.974 39.8442666666667 "H"
"79" 10.366 39.9533333333333 "H"
"80" 11.1535 39.752 "H"
"81" 11.078 39.8762666666667 "H"
"82" 10.078 39.9934 "H"
"83" 10.615 39.9567333333333 "H"
"84" 9.5475 40.0568 "H"
"85" 10.9035 39.9458 "H"
"86" 9.716 40.002 "H"
"87" 11.023 40.005 "H"
"88" 10.7025 40.0051333333333 "H"
"89" 9.932 39.8428 "H"
"90" 10.931 39.8098 "H"
"91" 10.2995 39.9711333333333 "H"
