"wl1" "wl2" "wl3" "wl4" "wl5" "wl6" "wl7" "wl8" "wl9" "wl10" "wl11" "wl12" "wl13" "wl14" "wl15" "wl16" "wl17" "wl18" "wl19" "wl20" "wl21" "wl22" "wl23" "wl24" "wl25" "wl26" "wl27" "wl28" "wl29" "wl30" "wl31" "wl32" "wl33" "wl34" "wl35" "wl36" "wl37" "wl38" "wl39" "wl40" "wl41" "wl42" "wl43" "wl44" "wl45" "wl46" "wl47" "wl48" "wl49" "wl50" "wl51" "wl52" "wl53" "wl54" "wl55" "wl56" "wl57" "wl58" "wl59" "wl60" "wl61" "wl62" "wl63" "wl64" "wl65" "wl66" "wl67" "wl68" "wl69" "wl70" "wl71" "wl72" "wl73" "wl74" "wl75" "wl76" "wl77" "wl78" "wl79" "wl80"
"spectrum1" 0.0430132515999094 0.0615510150016415 0.0432102111024744 0.0249989020289085 0.194569499365253 0.201961642311086 0.244546488001071 0.281996726930056 0.277437894811452 0.409363372868059 0.411897845786477 0.475827761701295 0.565943543936767 0.598683161776105 0.699074055824373 0.796303524757631 0.833783906823323 0.870726111973033 0.954002128470861 0.909170821822689 0.992602570273329 0.984849139045322 0.961006929168291 0.97659342012216 0.914406957470533 0.918032763033 0.948631309138325 0.816454706874693 0.722369064635096 0.697849907936449 0.597057882525453 0.578207623939365 0.518016375291036 0.449706857626278 0.447068152505034 0.424731560922713 0.311193795033865 0.223865216715692 0.238602950648255 0.183778697031778 0.149508943870693 0.0963086864660259 0.0814997172601044 0.0101711170578012 0.104402244393668 0.0586660492364446 0.045039552239956 0.0406777831844273 0.0981760892261931 -0.000221712748245983 0.0384875363772239 0.0228901590671251 0.0699903117427969 -0.0344542121514119 0.0227014933981154 0.0206064193140332 0.0304340733383633 0.00779559155648315 -0.00777958310865966 0.0280398109835514 -0.0770092794297388 -0.011682993185149 -0.00702287690366328 0.0378616452239195 -0.00309527837686129 0.0231376729661885 0.0371833488613039 0.0813586595601196 0.0483636505829508 0.0358007580303035 0.0185759265211059 0.039464573484039 0.0217000087209342 0.00200045640379744 -0.097591509778429 0.0326004675298038 -0.0694892633827846 0.0149870785171727 0.022377715001511 -0.0641039034808739
"spectrum2" 0.618620599282945 0.639697569225619 0.588037747750753 0.640253365930895 0.565024880725337 0.71137720934967 0.595983826985742 0.513827420260297 0.549666546193134 0.443343380617195 0.448462018995913 0.394436670032205 0.338347223785445 0.357609955723389 0.308769162604378 0.171551480876083 0.230191094141239 0.199093285837554 0.153098944515248 0.0166981067867522 0.0767959853765906 0.0517640901014136 0.105289887702886 0.0970519647271147 0.0405784925969723 0.08095550076466 0.0510372800916101 0.0402071515054454 0.0399038365116793 0.0168154626328672 -0.0701375750625835 0.0624858936311983 -0.0192384782729278 -0.00680007448116291 0.0347012542477298 0.0633035760779684 0.0247113217877322 0.0298170642624438 0.00241316252183795 0.040048764387772 -0.0157064985831692 -0.00234054799880081 0.00335575652650309 0.0340509081515258 -0.0395207694388609 0.0905125058210286 0.111415537119062 0.199067480462417 0.189450727832529 0.203119471755275 0.404329482596577 0.382935084554545 0.55482879458633 0.632595193340695 0.780861785599485 0.814208356241836 0.931116306844667 0.956133349488041 0.98613760026028 1.06238435129258 0.985010204072772 0.946831142759105 0.831372793213465 0.677715498097589 0.582073934331772 0.481363991355286 0.425471135997981 0.324208017150434 0.238631744383044 0.182528152010091 0.0709850394669564 0.0956546572599367 0.0663469498053091 0.112096920082751 -0.0230160757436129 -0.0220823909515837 0.0413664730542885 -0.0131136818111812 0.0357502295707901 -0.0294229953137874
"spectrum3" 0.589758821578208 0.671321834459817 0.599277569365915 0.647324402756589 0.54280837823106 0.442659739798866 0.528284062011998 0.414818143340672 0.376361449504515 0.322029924506784 0.382132026126992 0.26840354728687 0.252303022295314 0.191715507413686 0.160023137158892 0.151995726921231 0.0797457623541113 0.139923527779119 0.092894011101047 0.081762912397938 0.0193605710091035 0.0329732987221217 -0.0237825377031738 -0.0387708354906863 -0.0386015182042304 -0.0033317348426437 0.0144963018377191 -0.0420652350605842 -0.0597486966558284 -0.00916154101425215 0.0425522112021652 -0.0312717307369436 0.0268596266125694 0.00147092401109882 -0.0355270907878787 -0.043003921127902 -0.071754263687433 0.0301305599898583 -0.0186604431320829 0.0376729165667273 0.140429779281511 0.00933150589198943 0.0703766196257646 0.0657101569066252 0.0892507410678064 0.21009010130245 0.16609632809251 0.340746371220822 0.370350724209021 0.52622177963242 0.624301653467894 0.656933711568699 0.84612919603093 0.91341562795931 0.955881641291036 0.992135034700412 1.00201592472427 0.954518341813156 0.955839056160993 0.814776173469817 0.715648878629636 0.674721219407161 0.484174709646811 0.453199815538953 0.337186407554034 0.223946811233948 0.216133751931834 0.121123482428767 0.180440533103841 0.0529425302802624 0.0845863604754242 0.00439720085372526 0.00168800114239877 -0.0480672926208216 -0.00959854261489278 0.0121641995124475 -0.032975048421147 0.0104184712517206 -0.0125458093494938 -0.0463612590380517
"spectrum4" 0.191865798799637 0.313761917625363 0.230526846623493 0.348484136315401 0.444943867033246 0.428263665679088 0.454071914955716 0.453234842517389 0.53824320406426 0.555579687522304 0.44621531615592 0.542814583571436 0.436140632203427 0.556505325292021 0.500607377378675 0.39748176710195 0.514511048060604 0.358327536153435 0.378549190406604 0.345394171850839 0.243663958139295 0.343769047975592 0.353336312383316 0.341744488102774 0.221557078056681 0.323470126859427 0.303592362582921 0.306719797043957 0.329097539019575 0.40214543225121 0.378214846772392 0.3581435757911 0.461142980908246 0.472793774115038 0.447572304836643 0.521693976749011 0.428695145740734 0.466732393466661 0.502777897964894 0.514012005579533 0.457748500976142 0.485238412089776 0.434167534013174 0.440620700767655 0.485584591752604 0.473516688531967 0.444501935521814 0.392144701789154 0.288496092437558 0.355366563472259 0.339470112859331 0.313760781039547 0.321325976139395 0.305866420557602 0.244330099861145 0.300757538241974 0.380063424696085 0.318646579852912 0.300700359621422 0.356483514404324 0.450334211793112 0.428799386766862 0.440457563859834 0.433787741047545 0.415560826404268 0.437072763899963 0.508853644970861 0.473635585400003 0.469827736664318 0.440930521628823 0.480164816730652 0.418000281568649 0.333713346127639 0.330901876317684 0.367635416214321 0.280278881798577 0.202684989525648 0.323000578129279 0.181633031630735 0.190352081370328
"spectrum5" 0.530502054645328 0.590915404396951 0.50771085396049 0.634182402837243 0.527670604536055 0.456149325824452 0.455861247534576 0.331285033548799 0.368002070897696 0.31661958929769 0.25534412659381 0.221315811090359 0.18745548024508 0.208419918219531 0.082164166585766 0.11375465096196 0.163104518822595 0.0771175800368656 0.0633266893791136 -0.0413348245882863 0.0641187707716124 0.0134611737704061 -0.00442771440982933 0.0190734764603047 0.00390767289886349 0.0374575771871615 0.00399438145456418 0.0331344329012969 -0.0872588445616893 0.0087098505566675 0.0482398160540377 0.0295503490293536 0.0701657101097685 0.0749808339731033 0.0344144675099306 -0.016570622670983 -0.0338367497110299 0.030959176776428 0.0759794183773686 0.0701588443856706 0.0568459548371872 0.120027460344331 0.124258140829865 0.150498514960924 0.217937798985449 0.328328633513345 0.323920021040461 0.462104847286663 0.60829008902662 0.646889670501929 0.71970046267741 0.861813375125385 0.927673899559385 1.01051001961364 0.984126179127967 1.06815021619123 0.873280430491413 0.966635606764597 0.772156520024649 0.665963179941086 0.594116588291845 0.526542772628587 0.406179530421435 0.287332900853602 0.239141421328702 0.168169883262762 0.118720182365971 0.0174872174287271 0.0265174529846491 0.0650678901873872 0.0842964823871441 0.0480301975183759 -0.0436383135336518 -0.0272112445715813 0.00968538031636026 0.0128859840323535 -0.0131154126150761 -0.00650089046496749 0.0224835666759673 -0.0661380191815954
"spectrum6" 0.310162754348984 0.232708086135827 0.275075712058316 0.367935373416471 0.400910041023005 0.3760032472113 0.429135404313165 0.418728677035179 0.453869424072523 0.41820339409111 0.441402787849697 0.57271356813612 0.485583169528273 0.47445942258368 0.50050425166572 0.38510684119008 0.471205137490756 0.400972429510077 0.464297431408425 0.471753121547228 0.287921918055105 0.449156595509115 0.264720732865449 0.354837559864579 0.313328641501656 0.300319042336345 0.273134021149894 0.352621679806357 0.336637872182858 0.386446407888903 0.400004188072874 0.346060548861816 0.394550918038445 0.397018051765217 0.331473479326705 0.399498877461207 0.434215313639616 0.408327171389776 0.521878138928588 0.534817342655239 0.521299214802821 0.492511221989451 0.437706111563488 0.507513975304196 0.402900526041864 0.40295493574976 0.393821416685781 0.353177802438594 0.37918940408022 0.374439750249404 0.25574069732264 0.261463226545184 0.384932347396468 0.3273608377671 0.202232943690478 0.288056987286393 0.338981146284294 0.319746372157628 0.397023512635842 0.398684468176424 0.317018620435915 0.411235728725269 0.451309116297735 0.458376440165783 0.457944244817133 0.508404019291956 0.393407302761422 0.485039379603483 0.556053661137411 0.45921383251807 0.503154138443363 0.445342429610391 0.395387856553306 0.419453978382351 0.397351399553716 0.352262253400631 0.303374188747321 0.349271391309006 0.294056620491539 0.250230303141925
"spectrum7" -0.0329608719650865 0.0643441906059684 0.0721122482958291 0.126467713321015 0.000761566401252578 0.0360779138041214 -0.0165552937145863 0.190608022105454 0.194503436694468 0.214669418625651 0.273577291429958 0.330874043002703 0.316714011045301 0.438559674156048 0.510790609193233 0.562669470350534 0.582363304901538 0.743859034568945 0.736472072396119 0.844880658748439 0.860875861256115 0.960644530821705 0.927418713235299 0.981349745645799 1.01595348728303 1.05248864198101 1.00887143142567 0.994689575990654 0.974103415262298 0.927379229485099 0.808601374696883 0.822027879698216 0.723332806025212 0.721114719409218 0.608806289722578 0.56293044693626 0.517412012093876 0.472365209974376 0.408144245534922 0.22698128819066 0.252021357957444 0.183543564094795 0.185491727349361 0.0526705601719505 0.0743039546188071 0.138666370247371 0.0834621092051132 0.011342157933266 0.0723699677851264 0.0444152520761022 0.0484080958183258 0.0758808064347048 0.0478057853820876 -0.0120683717216313 0.0948262486023489 -0.0304350975928905 0.0222020859432064 0.0127469147681235 -0.078237129042779 0.00842754772045203 0.0515838766583444 -0.0265940591004886 -0.0662113460047713 0.0390433027645722 -0.0650214370966982 -0.024946911749543 0.0178108612521096 0.0370236989061833 -0.00759445099099827 0.0473873056584038 -0.0734517088224766 -0.00917907336400942 0.0373289913192266 -0.0143074077406975 0.048203313507425 -0.0360759402500161 -0.0574992623503174 0.016535323397685 0.0088498043240251 -0.0675948968853021
"spectrum8" 0.293504669986961 0.3520925063839 0.353029682339401 0.416209975276491 0.431798038599859 0.419747970691806 0.521739228494629 0.442770534995199 0.466735256169618 0.504537153692899 0.468155561918146 0.499959491189991 0.423511971888362 0.461275711338627 0.425654287814396 0.397654673431249 0.286204706502932 0.389101032810499 0.286654719018784 0.35036856998702 0.319337670115287 0.294962891749887 0.314985966879852 0.297112844153632 0.382422450934044 0.225659403661394 0.356854725887718 0.295160959678033 0.30363502144796 0.315306817906341 0.413440747601386 0.496940729025498 0.433588644560866 0.397939083848153 0.48579879172095 0.422750070211094 0.41170814981352 0.567073444345799 0.47911017397535 0.456688390331179 0.473097506549795 0.42065300451466 0.51620570087624 0.490204452176135 0.388209233157698 0.377750447877111 0.394953252682052 0.28667785227478 0.294165596765193 0.317223000147583 0.265730518369385 0.273923155292076 0.278720321815671 0.278439219817166 0.331759838148485 0.302773967574262 0.296764731270198 0.391331988544498 0.485213535743036 0.461321624153041 0.407349110227263 0.500167428689311 0.482560688677384 0.440666457797651 0.538405554036175 0.523204155496914 0.483818069907695 0.444312948962872 0.472886975498493 0.459925065242695 0.449212105648992 0.375577957351354 0.317231619500771 0.388284583079758 0.331595999494448 0.254483355890873 0.31203402345673 0.18935502041669 0.199981710666404 0.119729877509174
"spectrum9" 0.159054824742987 0.178197810432002 0.317987017852452 0.239725253742728 0.3161027120938 0.407166801271034 0.415659600143558 0.360591482261855 0.421264177408733 0.429051611216082 0.497091147107591 0.470454080197058 0.495270861084724 0.493166209597593 0.499955192644968 0.499947680182684 0.451592225145829 0.427379487352645 0.473481220004239 0.34145223976831 0.355254016532889 0.468474454681338 0.324323306510188 0.319540439498743 0.35327003720316 0.242213064038547 0.309334745348242 0.376822477323799 0.275200264980528 0.319823236424564 0.324566397367505 0.280857622006515 0.328879802967876 0.376464344440727 0.419444009500098 0.46385708398598 0.476549331662016 0.450840878399663 0.533303639025659 0.49668408608077 0.486020123108228 0.493504911450606 0.520782126905337 0.47963417035083 0.395246738673388 0.462489605712274 0.444696537895252 0.330240153992816 0.337345652353465 0.307149757215191 0.334414477753991 0.293585084168894 0.330581036095221 0.351839622354948 0.299612667828573 0.317240230267056 0.217953862180755 0.317988324251165 0.262446488070165 0.387656271074406 0.309969629181593 0.477424238983042 0.419032679922935 0.414344568274949 0.467556030340829 0.502167794086553 0.469106060075436 0.530175488522037 0.488655068961021 0.457023389925846 0.504436324395208 0.553269173339876 0.470138342510057 0.542188986980209 0.38335372882636 0.442236407509971 0.417983907046939 0.335395634791429 0.225823701975004 0.240078909200775
"spectrum10" 0.0426866323643064 0.0386616518942042 0.0393497806497276 -0.0875426174070335 0.164792679257945 0.0228746146840321 0.0655433806309106 0.0585822119661733 0.0977709014366981 0.183456246164498 0.162546088397955 0.143940524925368 0.182543990207974 0.300751308771108 0.328337066430164 0.388952797424484 0.442083872505991 0.474437462629994 0.600374119725735 0.715331821266844 0.785471401057122 0.77927274824911 0.836241639211887 0.841190943813237 0.907765868190646 0.941800196787484 0.983906946752525 0.935212482594537 1.0283336545992 0.945628104389186 1.0227085208565 0.910584999927218 0.868825126206442 0.773573953358021 0.775651459708749 0.65795320440714 0.64338685702045 0.621144959204198 0.486164332829917 0.497351302924568 0.474760505017209 0.38122993127953 0.268835924308658 0.214603104756317 0.18347834254628 0.124526022939556 0.147579017896881 0.123108356082544 0.0471348069192633 0.0273345381631515 0.0779393074446963 0.0218065711827776 0.0479692524947656 -0.0346315468577886 0.0474569829577578 -0.0310594721895449 0.0314668682951337 0.0140753891907616 0.0264718892931099 -0.0945324994191862 -0.0015782493774978 0.00719915074284959 -0.0234363899783858 0.0816127750548425 0.032082975701044 -0.0125372658274383 0.0286906130121711 0.0201614670263238 -0.0130611677486699 0.0236211066819959 -0.0307328835576004 0.0051490218765256 -0.0340179447490031 -0.05220086020225 -0.0281710667897816 0.00244440114900311 0.0140998288547952 -0.0148745682606482 0.0362207656405911 0.0351940534115368
