"alcohol" "region" "color"
8.71513097089086 "Piemonte" "red"
8.38700811709975 "Piemonte" "red"
8.17735213781931 "Piemonte" "red"
7.74944649678241 "Piemonte" "red"
7.35877778290096 "Piemonte" "red"
7.64736539236902 "Piemonte" "red"
9.10002016259974 "Piemonte" "red"
7.96511331364222 "Piemonte" "red"
7.43090120683086 "Piemonte" "red"
9.70850343569651 "Piemonte" "red"
8.69757026416071 "Piemonte" "red"
8.23294702936088 "Piemonte" "red"
9.14093813409631 "Piemonte" "red"
9.02049585596246 "Piemonte" "red"
7.9665298662382 "Piemonte" "red"
9.94427172517833 "Piemonte" "red"
8.22148107890129 "Piemonte" "red"
7.40285374485103 "Piemonte" "red"
8.29892027863205 "Piemonte" "red"
8.54527683746264 "Piemonte" "red"
10.0155848793416 "Piemonte" "red"
8.4740616575256 "Piemonte" "red"
8.71989916379639 "Piemonte" "red"
8.34599294525043 "Piemonte" "red"
8.16619941034342 "Piemonte" "red"
8.76219933554223 "Piemonte" "white"
7.26820757452615 "Piemonte" "white"
6.37614061142285 "Piemonte" "white"
7.63803540711764 "Piemonte" "white"
7.68422295248383 "Piemonte" "white"
6.8099213097135 "Piemonte" "white"
5.47775552982432 "Piemonte" "white"
7.05166280820442 "Piemonte" "white"
7.89935534514434 "Piemonte" "white"
7.45819370677017 "Piemonte" "white"
7.43127487919634 "Piemonte" "white"
7.89257451003408 "Piemonte" "white"
6.66947895299437 "Piemonte" "white"
8.26774393099197 "Piemonte" "white"
7.49625918020528 "Piemonte" "white"
7.99511746717866 "Piemonte" "white"
8.22387541431622 "Piemonte" "white"
7.65643629044071 "Piemonte" "white"
6.88490467099379 "Piemonte" "white"
8.31407518917713 "Piemonte" "white"
6.09988453865017 "Piemonte" "white"
7.11864648199879 "Piemonte" "white"
7.32103050359011 "Piemonte" "white"
7.3837152742645 "Piemonte" "white"
8.21432473614887 "Piemonte" "white"
8.37569178018211 "Toscana" "red"
8.95134772394111 "Toscana" "red"
9.8526715060566 "Toscana" "red"
9.11917470713464 "Toscana" "red"
9.24553587887069 "Toscana" "red"
7.53807360490937 "Toscana" "red"
9.08872689903736 "Toscana" "red"
8.55394736256246 "Toscana" "red"
7.37292497963543 "Toscana" "red"
8.7647159198537 "Toscana" "red"
8.28887177669879 "Toscana" "red"
9.42521111837886 "Toscana" "red"
7.86374260027674 "Toscana" "red"
8.09885177225002 "Toscana" "red"
7.75172335183579 "Toscana" "red"
8.27602722699442 "Toscana" "red"
8.68140824564044 "Toscana" "red"
7.88777627881628 "Toscana" "red"
8.98126121758717 "Toscana" "red"
7.55434204958688 "Toscana" "red"
7.66641091103458 "Toscana" "red"
9.408810394791 "Toscana" "red"
7.68890677428675 "Toscana" "red"
8.68838229862226 "Toscana" "red"
8.13324676422376 "Toscana" "red"
7.59535532517194 "Toscana" "white"
7.78501732239669 "Toscana" "white"
7.45124163089097 "Toscana" "white"
7.32663496086647 "Toscana" "white"
7.98688556463375 "Toscana" "white"
8.30235985005106 "Toscana" "white"
5.81783264957569 "Toscana" "white"
7.90091768867209 "Toscana" "white"
7.76230708474506 "Toscana" "white"
7.20231259491075 "Toscana" "white"
8.16570896530377 "Toscana" "white"
7.22753397279713 "Toscana" "white"
7.3009685367403 "Toscana" "white"
8.10018684465586 "Toscana" "white"
8.70373910938442 "Toscana" "white"
7.68903843065606 "Toscana" "white"
7.20447119314865 "Toscana" "white"
6.66762069359829 "Toscana" "white"
7.26827691478469 "Toscana" "white"
6.84211947144299 "Toscana" "white"
7.31874719181685 "Toscana" "white"
7.7760654177551 "Toscana" "white"
6.9037000355833 "Toscana" "white"
9.35441681676642 "Toscana" "white"
7.60920817296556 "Toscana" "white"
8.68658128775565 "Veneto" "red"
9.58221130034283 "Veneto" "red"
9.51061190340938 "Veneto" "red"
8.16836453952206 "Veneto" "red"
6.80033512529527 "Veneto" "red"
10.1483631128839 "Veneto" "red"
8.86694631673585 "Veneto" "red"
8.77892913517459 "Veneto" "red"
8.39062033379786 "Veneto" "red"
8.75707589606705 "Veneto" "red"
8.28493691776123 "Veneto" "red"
8.69448625027816 "Veneto" "red"
8.11982727921565 "Veneto" "red"
7.44085448571678 "Veneto" "red"
9.09148678721841 "Veneto" "red"
9.46382151784968 "Veneto" "red"
8.18388160154207 "Veneto" "red"
7.52269717107462 "Veneto" "red"
8.84956891397448 "Veneto" "red"
8.36870360417421 "Veneto" "red"
7.18674711522261 "Veneto" "red"
8.40149230177619 "Veneto" "red"
7.9587897662503 "Veneto" "red"
8.16132199409772 "Veneto" "red"
7.5903993461549 "Veneto" "red"
8.29114508721846 "Veneto" "white"
5.89761321411193 "Veneto" "white"
8.01870081003681 "Veneto" "white"
6.57862838768391 "Veneto" "white"
8.1438625743264 "Veneto" "white"
7.77869110881637 "Veneto" "white"
7.21472999451116 "Veneto" "white"
8.42698104112409 "Veneto" "white"
7.00913783152716 "Veneto" "white"
7.09356998703162 "Veneto" "white"
6.79924947328221 "Veneto" "white"
7.03227497527262 "Veneto" "white"
8.16162946736116 "Veneto" "white"
7.80359150468161 "Veneto" "white"
8.20361145237393 "Veneto" "white"
7.22691693516242 "Veneto" "white"
7.76345920424225 "Veneto" "white"
7.67091544714055 "Veneto" "white"
6.50161986033222 "Veneto" "white"
8.74490050123282 "Veneto" "white"
7.59411336265357 "Veneto" "white"
8.03591929941051 "Veneto" "white"
8.16859567383629 "Veneto" "white"
7.46460400899041 "Veneto" "white"
7.28592920616312 "Veneto" "white"
