"Edmonton" "Resolute" "Montreal"
"Gen" -14.0741935483871 -32.3741935483871 -10.5322580645161
"Feb" -10.8 -33.0071428571429 -9.05714285714286
"Mar" -5.08064516129032 -31.2322580645161 -2.51290322580645
"Apr" 3.83666666666667 -23.5566666666667 5.72333333333333
"Mag" 10.3806451612903 -10.9774193548387 12.9935483870968
"Giu" 14.2033333333333 -0.583333333333333 18.04
"Lug" 15.9838709677419 4.11935483870968 20.8290322580645
"Ago" 15.0580645161290 1.80967741935484 19.4161290322581
"Set" 9.97 -4.98333333333333 14.5166666666667
"Ott" 4.52258064516129 -15.0483870967742 8.28387096774194
"Nov" -5.66333333333333 -24.4533333333333 1.66333333333333
"Dic" -12.0838709677419 -29.1258064516129 -6.76774193548387
